Row,lookup_row,lookup_c,mimc7_first_step,mimc7_step,mimc7_last_step,ISLAST,ISFIRST,x,k,c,xkc,y,row,out
48,0x30,0x4bc40d4328bb4cb0,0x0,0x1,0x0,0x0,0x0,0xa14678b23524149c,0x2,0x4bc40d4328bb4cb0,0xed0a85f55ddf614e,0x3515341d08be1dd9,0x30,0x0
49,0x31,0x67441db8e9956fcd,0x0,0x1,0x0,0x0,0x0,0x3515341d08be1dd9,0x2,0x67441db8e9956fcd,0x9c5951d5f2538da8,0x2ad417adfe6f4410,0x31,0x0
50,0x32,0xda8dd2f2a8e400fc,0x0,0x1,0x0,0x0,0x0,0x2ad417adfe6f4410,0x2,0xda8dd2f2a8e400fc,0x561eaa1a753450d,0xc7655ffdb426ee6d,0x32,0x0
51,0x33,0xde60c0b2b810c007,0x0,0x1,0x0,0x0,0x0,0xc7655ffdb426ee6d,0x2,0xde60c0b2b810c007,0xa5c620b16c37ae75,0xea38dff5c91b76ea,0x33,0x0
52,0x34,0x8070872a0295765,0x0,0x1,0x0,0x0,0x0,0xea38dff5c91b76ea,0x2,0x8070872a0295765,0xf23fe8686944ce51,0xff5d4c04e3d80e33,0x34,0x0
53,0x35,0x67b64e1b689684e,0x0,0x1,0x0,0x0,0x0,0xff5d4c04e3d80e33,0x2,0x67b64e1b689684e,0x5d8b0e79a617682,0x31fe1144a9229794,0x35,0x0
54,0x36,0xba3f6e9ec92a8114,0x0,0x1,0x0,0x0,0x0,0x31fe1144a9229794,0x2,0xba3f6e9ec92a8114,0xec3d7fe3724d18aa,0xbe965e5c50bc6119,0x36,0x0
55,0x37,0x1d8e4f22edf6ebce,0x0,0x1,0x0,0x0,0x0,0xbe965e5c50bc6119,0x2,0x1d8e4f22edf6ebce,0xdc24ad7f3eb34ce9,0x16f75da738c44ef2,0x37,0x0
56,0x38,0xb5d07a732d181e1,0x0,0x1,0x0,0x0,0x0,0x16f75da738c44ef2,0x2,0xb5d07a732d181e1,0x2254654e6b95d0d5,0x319ea39f1b9b1aec,0x38,0x0
57,0x39,0xe88a79f3853c0b85,0x0,0x1,0x0,0x0,0x0,0x319ea39f1b9b1aec,0x2,0xe88a79f3853c0b85,0x1a291d93a0d72672,0x21b39b0d50110df2,0x39,0x0
58,0x3a,0x3a23a60460e2f115,0x0,0x1,0x0,0x0,0x0,0x21b39b0d50110df2,0x2,0x3a23a60460e2f115,0x5bd74111b0f3ff09,0x7b0689dd72c08718,0x3a,0x0
59,0x3b,0x31fbc3a255d8bc5d,0x0,0x1,0x0,0x0,0x0,0x7b0689dd72c08718,0x2,0x31fbc3a255d8bc5d,0xad024d7fc8994377,0xff20ab0cff0e8f91,0x3b,0x0
60,0x3c,0x59ec7bb4bf311415,0x0,0x1,0x0,0x0,0x0,0xff20ab0cff0e8f91,0x2,0x59ec7bb4bf311415,0x590d26c2be3fa3a7,0x99801bc71ba66751,0x3c,0x0
61,0x3d,0xd6e357257eb6d17b,0x0,0x1,0x0,0x0,0x0,0x99801bc71ba66751,0x2,0xd6e357257eb6d17b,0x706372ed9a5d38cd,0x6a8acd53ad5fed82,0x3d,0x0
62,0x3e,0x495ecc714756baad,0x0,0x1,0x0,0x0,0x0,0x6a8acd53ad5fed82,0x2,0x495ecc714756baad,0xb3e999c4f4b6a831,0x9214e420ab1da5bc,0x3e,0x0
63,0x3f,0xb67d6e6d56ceef05,0x0,0x1,0x0,0x0,0x0,0x9214e420ab1da5bc,0x2,0xb67d6e6d56ceef05,0x4892528f01ec94c2,0xc6edba94a2b6135d,0x3f,0x0
64,0x40,0x1253fe84bab24512,0x0,0x1,0x0,0x0,0x0,0xc6edba94a2b6135d,0x2,0x1253fe84bab24512,0xd941b9195d685871,0x8c5bb3c3c5c37d89,0x40,0x0
65,0x41,0x1baa6e2a32aa4513,0x0,0x1,0x0,0x0,0x0,0x8c5bb3c3c5c37d89,0x2,0x1baa6e2a32aa4513,0xa80621edf86dc29e,0x247e14ce3e80382,0x41,0x0
66,0x42,0xf53453311c702bcb,0x0,0x1,0x0,0x0,0x0,0x247e14ce3e80382,0x2,0xf53453311c702bcb,0xf77c347e00582f4f,0x692e4eb3173454d9,0x42,0x0
67,0x43,0x4f7681c6381b9f9e,0x0,0x1,0x0,0x0,0x0,0x692e4eb3173454d9,0x2,0x4f7681c6381b9f9e,0xb8a4d0794f4ff479,0x9d715c8ee26461a3,0x43,0x0
68,0x44,0xaf1cd2152f85d539,0x0,0x1,0x0,0x0,0x0,0x9d715c8ee26461a3,0x2,0xaf1cd2152f85d539,0x4c8e2ea511ea36dd,0x9cc452407ca0ee12,0x44,0x0
69,0x45,0xbd88ea178d407477,0x0,0x1,0x0,0x0,0x0,0x9cc452407ca0ee12,0x2,0xbd88ea178d407477,0x5a4d3c5909e1628a,0xd6a61444fe83edf,0x45,0x0
70,0x46,0x5705396e5e874b0a,0x0,0x1,0x0,0x0,0x0,0xd6a61444fe83edf,0x2,0x5705396e5e874b0a,0x646f9ab2ae6f89eb,0xc23ddd4df5120154,0x46,0x0
71,0x47,0xbbae13c6e87b0aab,0x0,0x1,0x0,0x0,0x0,0xc23ddd4df5120154,0x2,0xbbae13c6e87b0aab,0x7debf115dd8d0c00,0xb2c2523faa940d21,0x47,0x0
72,0x48,0x2b1c378ccad72a1a,0x0,0x1,0x0,0x0,0x0,0xb2c2523faa940d21,0x2,0x2b1c378ccad72a1a,0xddde89cc756b373d,0xf16ebff2efe4132c,0x48,0x0
73,0x49,0x1851c124ad6b5cdf,0x0,0x1,0x0,0x0,0x0,0xf16ebff2efe4132c,0x2,0x1851c124ad6b5cdf,0x9c081189d4f700c,0x48d4d22e7c27e42a,0x49,0x0
74,0x4a,0xc706e6f717f5ab13,0x0,0x1,0x0,0x0,0x0,0x48d4d22e7c27e42a,0x2,0xc706e6f717f5ab13,0xfdbb926941d8f3e,0x400bb798d2186d84,0x4a,0x0
75,0x4b,0xc6bfbc730607ae24,0x0,0x1,0x0,0x0,0x0,0x400bb798d2186d84,0x2,0xc6bfbc730607ae24,0x6cb740cd8201ba9,0x4e187959b4f08ae0,0x4b,0x0
76,0x4c,0x97764ebbade7bd3,0x0,0x1,0x0,0x0,0x0,0x4e187959b4f08ae0,0x2,0x97764ebbade7bd3,0x578fde456fcf06b5,0x789bedb5d15f97c1,0x4c,0x0
77,0x4d,0x943158267bf78f4f,0x0,0x1,0x0,0x0,0x0,0x789bedb5d15f97c1,0x2,0x943158267bf78f4f,0xccd45dd4d572711,0xa47c0a4f43e3a2f3,0x4d,0x0
78,0x4e,0xa47109b91b93d845,0x0,0x1,0x0,0x0,0x0,0xa47c0a4f43e3a2f3,0x2,0xa47109b91b93d845,0x48ed14095f777b39,0x4e58e3694d6cb964,0x4e,0x0
79,0x4f,0xf10c7eb053701c82,0x0,0x1,0x0,0x0,0x0,0x4e58e3694d6cb964,0x2,0xf10c7eb053701c82,0x3f65621aa0dcd5e7,0x995faa61b5fceb41,0x4f,0x0
80,0x50,0x1f064fc30fe4df0b,0x0,0x1,0x0,0x0,0x0,0x995faa61b5fceb41,0x2,0x1f064fc30fe4df0b,0xb865fa24c5e1ca4e,0xa2ac792feac40dbd,0x50,0x0
81,0x51,0x1ab466f34cd36797,0x0,0x1,0x0,0x0,0x0,0xa2ac792feac40dbd,0x2,0x1ab466f34cd36797,0xbd60e02337977556,0xb717e049b85a568b,0x51,0x0
82,0x52,0x78444113b0809eb3,0x0,0x1,0x0,0x0,0x0,0xb717e049b85a568b,0x2,0x78444113b0809eb3,0x2f5c215e68daf53f,0xa4b489f7f410dc9d,0x52,0x0
83,0x53,0x75ed386381fb2633,0x0,0x1,0x0,0x0,0x0,0xa4b489f7f410dc9d,0x2,0x75ed386381fb2633,0x1aa1c25c760c02d1,0xc0010a998442e5ce,0x53,0x0
84,0x54,0x283569baf73883cc,0x0,0x1,0x0,0x0,0x0,0xc0010a998442e5ce,0x2,0x283569baf73883cc,0xe83674547b7b699c,0x3c5ca3426bb63b5b,0x54,0x0
85,0x55,0x40c4da7ac689fc51,0x0,0x1,0x0,0x0,0x0,0x3c5ca3426bb63b5b,0x2,0x40c4da7ac689fc51,0x7d217dbd324037ae,0x47aa3bf1ca904950,0x55,0x0
86,0x56,0x6a60dfb654531ce3,0x0,0x1,0x0,0x0,0x0,0x47aa3bf1ca904950,0x2,0x6a60dfb654531ce3,0xb20b1ba81ee36635,0xe6f22ff522944386,0x56,0x0
87,0x57,0xe0b07184aacdb7ed,0x0,0x1,0x0,0x0,0x0,0xe6f22ff522944386,0x2,0xe0b07184aacdb7ed,0xc7a2a17acd61fb74,0x2719950f4f6be96c,0x57,0x0
88,0x58,0xb5759acf66c822f2,0x0,0x1,0x0,0x0,0x0,0x2719950f4f6be96c,0x2,0xb5759acf66c822f2,0xdc8f2fdeb6340c60,0x97f1d4edc511772d,0x58,0x0
89,0x59,0xca5ef6cf5b4abd1f,0x0,0x1,0x0,0x0,0x0,0x97f1d4edc511772d,0x2,0xca5ef6cf5b4abd1f,0x6250cbbe205c344d,0xc995ffe24866f4de,0x59,0x0
90,0x5a,0x747a13cc3ed2a1ba,0x0,0x0,0x1,0x1,0x0,0xc995ffe24866f4de,0x2,0x0,0x0,0x0,0x5a,0xc995ffe24866f4e0
